name,name_lc,name_lc_metaphone,name_lc_arpabet
Agha Hasan Abedi,agha hasan abedi,AKH HSN ABT,AE1GAH0 HHEY1ZAH0N AH0BEH1DIY0
Agnes Newton Keith,agnes newton keith,AKNS NTN K0,AE1GNIH0S NUW1TAH0N KIY1TH
Agnes von Kurowsky,agnes von kurowsky,AKNS FN KRSK,AE1GNIH0S VAO1N KER0AW1SKIY0
Ahaziah of Israel,ahaziah of israel,AHS OF ISRL,AH0HHAA1ZIY0AH0 AH1V IH1ZRIY0AH0L
Ahmad Badreddin Hassoun,ahmad badreddin hassoun,AMT BTRTN HSN,AA1MAA0D BAE1DREH2DIH0N HHAE1SOW0N
Ahmad Khan Mahmidzada,ahmad khan mahmidzada,AMT KHN MMTST,AA1MAA0D KAA1N MAH0DIH1MAH0STAH0
Ahmad Reza Abedzadeh,ahmad reza abedzadeh,AMT RS ABTST,AA1MAA0D REH1ZAH0 AE2BDEH1ZDEY2
Ahmad Sani Yerima,ahmad sani yerima,AMT SN YRM,AA1MAA0D SAE1NIY0 YEH1RIH0MAH0
Ahmad Shah Qajar,ahmad shah qajar,AMT X KJR,AA1MAA0D SHAA1 KAH0JHAA1R
Ahmad Shah of Pahang,ahmad shah of pahang,AMT X OF PHNK,AA1MAA0D SHAA1 AH1V PAA1HHAE0NG
Ahmad Shuja Pasha,ahmad shuja pasha,AMT XJ PX,AA1MAA0D SHUW1JHAH0 PAH0SHAA1
Ahmad Tejan Kabbah,ahmad tejan kabbah,AMT TJN KB,AA1MAA0D TEY0JHAH0N KAH0BAH1
Ahmad Zahid Hamidi,ahmad zahid hamidi,AMT SHT HMT,AA1MAA0D ZAH0HHIH1D HHAH0MIY1DIY0
Ahmed Ben Bella,ahmed ben bella,AMT BN BL,AA1MAH0D BEH1N BEH1LAH0
Ahmed El Sakka,ahmed el sakka,AMT EL SK,AA1MAH0D EH1L SAA1KAH0
Ahmed Hassan al-Bakr,ahmed hassan al-bakr,AMT HSN ALBKR,AA1MAH0D HHAH0SAA1N AE1LBAE2KER0
Ahmed Ismail Samatar,ahmed ismail samatar,AMT ISML SMTR,AA1MAH0D IH1SMEY0L SAE1MAH0TAA2R
Ahmed Kousay al-Taie,ahmed kousay al-taie,AMT KS ALT,AA1MAH0D KAW1SIY0 AO1TREY2
Ahmed Mohamed Mohamoud,ahmed mohamed mohamoud,AMT MHMT MHMT,AA1MAH0D MOW0HHAA1MEH0D MOW1AH0MAO2D
Ahmed Raza Khan Barelvi,ahmed raza khan barelvi,AMT RS KHN BRLF,AA1MAH0D RAE1ZAH0 KAA1N BAA0REH1LVIY0
Ahmed Sékou Touré,ahmed sékou touré,AMT SK TR,AA1MAH0D SEY0KUW1 TUH1R
Ahmed Zaki Yamani,ahmed zaki yamani,AMT SK YMN,AA1MAH0D ZAA1KIY0 YAA0MAA1NIY0
Ahmed bin Abdulaziz Al Saud,ahmed bin abdulaziz al saud,AMT BN ABTLSS AL ST,AA1MAH0D BIH1N AE0BDUW2LAH0ZIY1Z AE1L SAO1D
Ahmed bin Rashid Al Maktoum,ahmed bin rashid al maktoum,AMT BN RXT AL MKTM,AA1MAH0D BIH1N RAH0SHIY1D AE1L MAE0KTUW1M
Ahmed bin Zayed Al Nahyan,ahmed bin zayed al nahyan,AMT BN SYT AL NYN,AA1MAH0D BIH1N ZEY1AH0D AE1L NEY1HHIY0AH0N
Ahmet Necdet Sezer,ahmet necdet sezer,AMT NKTT SSR,AA1MEH0T NEH1KDIH0T SIY1ZER0
Ai-Ai de las Alas,ai-ai de las alas,A T LS ALS,EY1 DIY1 LAA1S AH0LAE1S
Aimee Semple McPherson,aimee semple mcpherson,AM SMPL MKFRSN,EY1MIY1 SEH1MPAH0L MAH0KFER1SAH0N
Air Force Amy,air force amy,AR FRS AM,EH1R FAO1RS EY1MIY0
Airi & Meiri,airi & meiri,AR MR,EH1RIY0 MIH1RIY0
Airton Ribeiro Santos,airton ribeiro santos,ARTN RBR SNTS,EH1RTAH0N RIY0BEH1ROW0 SAE1NTOW0S
Aishwarya Rai Bachchan,aishwarya rai bachchan,AXWRY R BXXN,AY2VWEH0SHWAA1RAH0 RAA1IY0 BAA1KSHAH0N
Ajaypal Singh Banga,ajaypal singh banga,AJPL SN BNK,AH0JHAE1PAH0L SIH1NG BAE1NGGAH0
Akbar Al Baker,akbar al baker,AKBR AL BKR,AE1KBER0 AE1L BEY1KER0
Akbar Hashemi Rafsanjani,akbar hashemi rafsanjani,AKBR HXM RFSNJN,AE1KBER0 HHAH0SHEY1MIY0 RAE2FSAH0NJHAA1NIY0
Akhtar Raza Khan,akhtar raza khan,AKHTR RS KHN,AE1KTER0 RAE1ZAH0 KAA1N
